2024-02-25 12:50:08 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[426b780a-2581-43ab-a001-d6478dfd3623] Notify disconnected event to listeners
2024-02-25 12:50:08 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[426b780a-2581-43ab-a001-d6478dfd3623] Notify connected event to listeners.
2024-02-25 12:50:54 |INFO  |NettyClientPublicExecutor_1 |SendNoticeService.java:41 |ljl.service.send_notice.SendNoticeService |Message sent successfully: 
2024-02-25 12:50:55 |INFO  |NettyClientPublicExecutor_4 |SendNoticeService.java:143 |ljl.service.send_notice.SendNoticeService |ok
2024-02-25 12:50:55 |INFO  |ConsumeMessageThread_2 |VideoEncodeConsumer.java:60 |ljl.consumer.video_encode.VideoEncodeConsumer |到了
2024-02-25 12:51:14 |INFO  |ConsumeMessageThread_2 |VideoEncodeConsumer.java:63 |ljl.consumer.video_encode.VideoEncodeConsumer |结束了
2024-02-25 13:05:26 |INFO  |NettyClientSelector_1 |TimeBasedFilter.java:24 |ljl.filter.TimeBasedFilter |






2024-02-25 13:05:26 |INFO  |NettyClientSelector_1 |Slf4jLoggerFactory.java:95 |RocketmqRemoting |closeChannel: close the connection to remote address[120.55.183.155:9876] result: true
2024-02-25 13:05:29 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[426b780a-2581-43ab-a001-d6478dfd3623] Server healthy check fail, currentConnection = 1708836608137_120.227.129.112_46747
2024-02-25 13:05:29 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[426b780a-2581-43ab-a001-d6478dfd3623] Try to reconnect to a new server, server is  not appointed, will choose a random server.
2024-02-25 13:05:29 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[426b780a-2581-43ab-a001-d6478dfd3623] Success to connect a server [116.62.71.84:8848], connectionId = 1708837529255_120.227.129.112_46154
2024-02-25 13:05:29 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[426b780a-2581-43ab-a001-d6478dfd3623] Abandon prev connection, server is 116.62.71.84:8848, connectionId is 1708836608137_120.227.129.112_46747
