2024-03-01 03:00:15 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 03:00:16 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 03:00:16 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 03:00:16 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 03:00:16 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 03:00:16 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 03:00:16 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 03:00:16 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 03:00:16 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 03:00:16 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 03:00:16 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 03:00:16 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 03:00:16 |INFO  |ForkJoinPool.commonPool-worker-1 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 03:01:23 |INFO  |http-nio-1688-exec-6 |BigModelHandler.java:263 |ljl.chat.handler.BigModelHandler |你听起来很厉害
2024-03-01 03:01:23 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 03:01:23 |INFO  |ForkJoinPool.commonPool-worker-2 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 03:01:23 |INFO  |ForkJoinPool.commonPool-worker-2 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 03:01:23 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 03:01:23 |INFO  |ForkJoinPool.commonPool-worker-2 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 03:01:23 |INFO  |ForkJoinPool.commonPool-worker-2 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 03:01:23 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 03:01:23 |INFO  |ForkJoinPool.commonPool-worker-2 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 03:01:23 |INFO  |ForkJoinPool.commonPool-worker-2 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 03:01:24 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 03:01:24 |INFO  |ForkJoinPool.commonPool-worker-2 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 03:01:24 |INFO  |ForkJoinPool.commonPool-worker-2 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 03:01:24 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 03:01:24 |INFO  |ForkJoinPool.commonPool-worker-2 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 03:01:24 |INFO  |ForkJoinPool.commonPool-worker-2 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 03:01:24 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 03:01:24 |INFO  |ForkJoinPool.commonPool-worker-2 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 03:01:54 |INFO  |ForkJoinPool.commonPool-worker-2 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 03:02:35 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e8ccf7a3-ad0f-4128-8381-0e4859461b28] Server healthy check fail, currentConnection = 1709232914020_120.227.129.112_47021
2024-03-01 03:02:36 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e8ccf7a3-ad0f-4128-8381-0e4859461b28] Try to reconnect to a new server, server is  not appointed, will choose a random server.
2024-03-01 03:02:49 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e8ccf7a3-ad0f-4128-8381-0e4859461b28] Success to connect a server [116.62.71.84:8848], connectionId = 1709233369231_120.227.129.112_46128
2024-03-01 03:02:49 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e8ccf7a3-ad0f-4128-8381-0e4859461b28] Abandon prev connection, server is 116.62.71.84:8848, connectionId is 1709232914020_120.227.129.112_47021
2024-03-01 03:02:49 |INFO  |com.alibaba.nacos.client.remote.worker |RpcClient.java:591 |com.alibaba.nacos.common.remote.client |Close current connection 1709232914020_120.227.129.112_47021
2024-03-01 03:02:49 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e8ccf7a3-ad0f-4128-8381-0e4859461b28] Notify disconnected event to listeners
2024-03-01 03:02:49 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e8ccf7a3-ad0f-4128-8381-0e4859461b28] Notify connected event to listeners.
2024-03-01 03:03:20 |INFO  |http-nio-1688-exec-5 |BigModelHandler.java:263 |ljl.chat.handler.BigModelHandler |李白
2024-03-01 03:03:21 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 03:03:21 |INFO  |ForkJoinPool.commonPool-worker-3 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 03:03:21 |INFO  |ForkJoinPool.commonPool-worker-3 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 03:03:21 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 03:03:21 |INFO  |ForkJoinPool.commonPool-worker-3 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 03:03:21 |INFO  |ForkJoinPool.commonPool-worker-3 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 03:03:21 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 03:03:21 |INFO  |ForkJoinPool.commonPool-worker-3 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 03:03:21 |INFO  |ForkJoinPool.commonPool-worker-3 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 03:03:22 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 03:03:22 |INFO  |ForkJoinPool.commonPool-worker-3 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 03:03:22 |INFO  |ForkJoinPool.commonPool-worker-3 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 03:03:22 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 03:03:22 |INFO  |ForkJoinPool.commonPool-worker-3 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 03:03:22 |INFO  |ForkJoinPool.commonPool-worker-3 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
