2024-03-26 12:01:07 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2024-03-26 12:01:07 |INFO  |main |ServletWebServerApplicationContext.java:290 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 2938 ms
2024-03-26 12:01:07 |INFO  |main |MybatisPlusJoinAutoConfiguration.java:140 |com.github.yulichang.autoconfigure.MybatisPlusJoinAutoConfiguration |mybatis plus join properties config complete
2024-03-26 12:01:07 |INFO  |main |MybatisPlusJoinAutoConfiguration.java:140 |com.github.yulichang.autoconfigure.MybatisPlusJoinAutoConfiguration |mybatis plus join SqlInjector init
2024-03-26 12:01:10 |INFO  |main |WebMvcPropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.WebMvcPropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2ControllerWebMvc#getDocumentation(String, HttpServletRequest)]
2024-03-26 12:01:11 |INFO  |main |RpcClientFactory.java:80 |com.alibaba.nacos.common.remote.client |[RpcClientFactory] create a new rpc client of 2c9a7310-b872-4fd0-bd48-b9a871114aa4
2024-03-26 12:01:11 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 215 ms to scan 1 urls, producing 3 keys and 6 values 
2024-03-26 12:01:12 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 36 ms to scan 1 urls, producing 4 keys and 9 values 
2024-03-26 12:01:12 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 26 ms to scan 1 urls, producing 3 keys and 10 values 
2024-03-26 12:01:12 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 502 ms to scan 199 urls, producing 0 keys and 0 values 
2024-03-26 12:01:12 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 33 ms to scan 1 urls, producing 1 keys and 5 values 
2024-03-26 12:01:12 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 30 ms to scan 1 urls, producing 1 keys and 7 values 
2024-03-26 12:01:12 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 23 ms to scan 1 urls, producing 2 keys and 8 values 
2024-03-26 12:01:12 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 248 ms to scan 199 urls, producing 0 keys and 0 values 
2024-03-26 12:01:12 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[2c9a7310-b872-4fd0-bd48-b9a871114aa4] RpcClient init label, labels = {module=naming, source=sdk}
2024-03-26 12:01:12 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[2c9a7310-b872-4fd0-bd48-b9a871114aa4] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
2024-03-26 12:01:12 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[2c9a7310-b872-4fd0-bd48-b9a871114aa4] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
2024-03-26 12:01:12 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[2c9a7310-b872-4fd0-bd48-b9a871114aa4] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
2024-03-26 12:01:12 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[2c9a7310-b872-4fd0-bd48-b9a871114aa4] Try to connect to server on start up, server: {serverIp = '116.62.71.84', server main port = 8848}
